Programming,Data Analysis,Machine Learning,Artificial Intelligence,Database Management,Software Development,Cybersecurity,Cloud Computing,Networking,Web Development,JavaScript,Python,Java,C++,SQL,HTML/CSS,APIs,Version Control,Agile Methodologies,DevOps,Data Visualization,Big Data,Linux,Windows,Project Management,Systems Design,Embedded Systems,Algorithms,Data Structures,Mobile Development,UX/UI Design,Testing/QA,Blockchain,IT Support,Business Analysis,Game Development,Cloud Services,Software Architecture,Scripting,Technical Documentation,Ethical Hacking,IoT,Virtual Reality,Augmented Reality,System Administration,Business Intelligence,Quantitative Analysis,Data Engineering,Computer Vision,Natural Language Processing,Robotics,Information Retrieval,Software Engineering,Network Security,Computer Graphics,Embedded Programming,Data Warehousing,Information Systems,Technical Support,Product Management,Research & Development,Digital Marketing,Algorithm Design,Application Development,Infrastructure Management,Enterprise Solutions,Shell Scripting,Penetration Testing,Cryptography,Load Balancing,Cloud Security,"Containerization (Docker, Kubernetes)",CI/CD Pipelines,API Development,Cross-Platform Development,Microservices,Distributed Systems,Edge Computing,Network Architecture,Network Protocols,Operating Systems,Parallel Computing,Quantum Computing,Real-Time Systems,Systems Integration,Virtualization,Data Governance,Data Mining,Data Privacy,Data Science,"Data Visualization Tools (Tableau, PowerBI)",Data Wrangling,Database Design,ETL Processes,Machine Learning Engineering,Model Deployment,Model Evaluation,Neural Networks,Predictive Analytics,Reinforcement Learning,Supervised Learning,Unsupervised Learning,Data Quality Assurance,Deep Learning,Bioinformatics,Cheminformatics,Computational Biology,Geographical Information Systems (GIS),Human-Computer Interaction,Information Security,Software Configuration Management,Supply Chain Management,Telecommunications,Technical Writing,User Research,User Testing,Career,EncodeCareer
1,4,4,4,2,4,9,5,1,1,5,3,2,1,2,2,1,2,5,7,1,4,1,3,4,1,2,4,4,4,1,2,2,2,1,3,5,4,10,3,5,3,1,1,5,1,5,2,5,2,3,3,1,9,2,2,2,4,4,3,4,1,4,5,2,3,5,4,5,5,10,7,9,5,5,1,5,4,3,1,2,2,4,1,1,2,3,5,3,1,4,3,3,1,2,1,3,3,4,3,4,3,2,3,4,4,4,3,4,5,2,3,4,2,3,2,DevSecOps Engineer,33
1,1,1,4,3,4,1,9,9,1,3,4,3,4,1,1,1,4,1,3,3,1,5,4,7,1,5,4,4,5,2,4,1,10,1,2,1,5,2,4,2,1,1,5,10,4,2,1,1,2,3,1,4,2,2,5,1,1,10,3,4,3,5,4,4,1,4,1,5,3,4,5,1,3,4,4,2,4,5,4,4,2,2,2,4,3,3,5,4,2,3,4,2,5,3,3,1,2,1,5,1,4,3,1,1,2,2,1,4,1,4,1,5,5,1,2,IT Operations Manager,52
10,2,3,2,5,3,5,5,3,4,4,2,3,5,4,4,2,2,2,2,3,1,4,2,5,4,2,2,3,1,1,3,5,1,5,8,4,1,1,4,4,1,7,7,3,2,1,5,1,4,5,5,2,1,9,5,5,3,5,4,3,4,1,1,1,4,5,5,3,3,5,2,4,4,4,2,3,3,4,3,4,5,5,3,2,3,1,4,1,3,5,4,3,2,3,2,5,2,1,1,1,1,1,2,1,4,2,5,2,3,5,1,1,3,1,5,AR/VR Developer,2
8,5,2,2,4,2,4,10,9,2,2,1,4,1,5,2,5,1,4,3,2,5,5,5,10,8,3,1,4,4,5,9,5,4,4,4,5,3,8,3,3,2,4,4,5,5,3,2,2,1,1,3,5,4,4,3,2,1,5,2,5,5,3,1,1,4,2,2,1,5,4,4,5,4,5,4,1,4,4,2,4,5,1,4,9,1,4,2,3,4,3,4,1,4,3,1,4,2,5,4,2,3,2,5,2,4,2,4,3,5,2,5,2,5,2,3,Systems Engineer,88
8,5,3,3,7,1,5,3,1,1,3,4,2,4,10,5,7,2,3,3,5,4,5,3,5,3,2,5,1,2,1,3,1,4,3,1,3,4,1,1,2,1,1,3,4,5,4,4,1,5,5,4,3,5,5,4,7,5,4,2,4,4,3,1,2,1,2,2,5,3,3,4,1,4,3,4,3,3,2,4,2,4,3,3,5,2,1,4,1,5,3,2,10,7,3,2,2,4,1,5,2,2,5,1,3,4,5,2,3,4,5,2,1,5,2,3,Database Developer,31
3,4,2,3,2,4,7,10,3,2,5,1,3,3,5,3,5,1,3,2,3,5,5,2,2,5,5,3,5,2,3,5,1,2,1,3,2,3,4,2,3,1,3,5,5,1,3,2,1,3,4,5,1,10,4,5,4,1,3,4,4,4,2,4,3,3,3,8,7,1,8,2,3,2,5,2,5,2,3,4,3,3,3,4,3,5,2,4,1,5,4,2,4,5,5,1,3,2,5,5,2,5,1,1,3,4,2,1,1,1,1,3,5,1,3,4,Cloud Security Engineer,16
5,3,2,4,5,5,1,9,10,5,4,4,1,1,2,5,8,1,1,1,2,2,2,5,9,8,1,5,4,3,1,4,3,4,3,3,2,9,4,7,5,4,4,1,1,2,5,5,2,1,1,1,4,5,5,3,3,4,4,5,3,2,1,5,2,4,1,4,3,2,1,1,4,5,2,1,1,3,2,2,1,2,2,1,1,4,4,4,4,2,3,1,1,5,3,3,1,3,5,2,4,5,4,1,2,5,3,2,5,2,1,3,4,4,4,5,Solutions Architect,84
3,2,2,2,5,7,5,7,4,3,2,4,1,4,2,2,2,2,1,4,1,3,4,3,8,9,2,4,5,4,2,4,2,4,8,3,1,4,5,1,5,4,2,4,3,2,5,4,4,2,4,1,5,4,4,2,3,5,1,1,2,1,3,4,5,4,2,4,3,1,5,3,2,5,4,2,4,3,3,2,1,2,1,2,2,5,1,1,3,4,3,1,5,1,4,4,2,5,3,5,2,1,4,1,1,2,3,1,4,4,3,3,2,5,4,1,Chief Technology Officer (CTO),13
5,5,4,4,5,4,3,5,5,2,2,2,2,9,2,3,1,3,2,5,1,5,3,3,1,7,10,3,5,4,2,2,4,4,1,3,5,2,9,4,4,3,5,4,5,2,1,1,2,1,4,3,1,2,3,10,4,2,4,1,3,5,3,5,1,2,4,4,4,1,1,5,3,3,2,5,1,1,4,5,5,1,5,8,4,1,1,5,5,3,5,5,2,1,5,2,5,1,3,4,1,1,2,2,2,3,2,1,2,5,5,4,5,4,5,3,Embedded Systems Engineer,39
5,1,2,4,4,4,2,10,7,5,1,3,3,2,3,1,3,1,1,5,3,4,2,4,9,3,4,5,3,5,2,3,4,9,2,1,2,5,3,3,1,5,3,3,8,2,4,2,5,2,3,5,3,3,3,2,4,1,10,1,5,4,1,3,5,4,2,5,3,3,3,1,4,5,4,4,1,1,3,4,1,3,5,1,1,5,5,1,5,5,3,1,5,3,1,1,1,5,5,4,3,4,3,2,4,1,2,2,2,3,5,5,2,5,1,5,IT Operations Manager,52
7,9,2,2,2,5,5,3,4,1,4,4,3,5,1,1,10,2,4,4,1,4,1,5,5,1,3,4,1,3,5,4,4,5,2,1,3,3,8,3,3,4,1,4,5,4,2,1,2,1,1,1,3,4,3,3,4,2,1,2,2,5,3,1,4,2,5,5,2,2,5,3,5,5,5,3,3,3,4,4,4,4,1,1,1,2,1,2,5,1,3,4,2,5,1,4,3,5,3,1,2,5,1,1,2,2,1,2,5,2,5,1,4,1,1,1,Robotic Process Automation (RPA) Developer,74
8,8,7,3,2,4,1,3,1,3,2,7,1,5,2,3,5,4,4,3,10,1,4,5,5,5,4,3,4,2,2,3,5,4,3,1,2,1,1,4,3,1,1,5,5,1,4,1,2,3,4,5,3,2,4,4,4,5,3,2,1,1,1,3,4,2,5,4,5,4,1,4,1,1,2,2,5,5,3,3,5,2,1,3,2,1,3,2,5,2,3,1,3,4,5,4,3,3,2,2,4,2,2,4,7,4,9,4,2,5,5,4,5,5,2,1,Bioinformatics Specialist,9
10,2,3,5,5,4,3,4,2,3,2,1,5,1,2,4,5,5,3,1,2,2,2,2,4,2,4,4,3,3,1,10,4,3,2,9,3,1,4,4,3,2,4,1,4,1,2,3,2,2,1,2,3,4,1,1,2,2,2,5,3,2,5,1,3,5,1,4,4,3,5,5,1,4,4,2,5,3,4,3,3,2,4,3,4,2,1,1,1,3,3,3,4,5,4,1,5,2,5,2,3,1,3,4,3,3,5,2,1,3,3,2,4,4,5,2,Game Designer,45
1,5,4,4,2,1,1,4,8,4,3,1,1,2,5,2,1,5,4,4,5,3,10,7,4,4,3,4,2,2,2,1,4,9,5,3,1,4,2,9,1,2,5,4,7,5,3,3,4,1,2,3,5,4,4,5,3,3,10,5,3,5,4,5,2,1,1,2,5,1,2,3,2,1,5,5,5,1,3,5,4,3,2,4,3,1,4,3,3,3,3,5,4,3,2,3,5,4,4,3,3,2,4,4,4,1,4,4,2,2,5,2,4,4,4,2,IT Support Specialist,55
2,9,5,2,3,1,4,8,8,4,3,2,4,2,4,4,5,4,5,1,4,4,4,5,4,3,1,2,2,5,1,1,2,5,3,1,2,3,3,3,4,3,3,2,5,4,2,2,3,4,5,5,2,10,2,2,5,5,2,5,5,3,3,1,1,2,2,2,2,5,1,2,3,5,1,5,4,2,3,7,5,1,4,3,5,4,3,2,1,4,1,1,4,4,5,3,2,3,2,2,5,3,4,1,5,5,5,4,1,2,4,3,3,4,5,4,Network Analyst,66
2,7,2,5,9,3,4,2,3,1,4,5,3,2,9,1,1,1,5,3,10,2,5,3,4,2,3,4,2,1,1,4,1,4,2,3,2,4,5,5,4,1,4,3,2,7,9,5,4,1,4,5,3,4,4,1,8,2,4,3,2,1,3,1,4,4,4,5,5,5,2,5,4,4,1,3,3,2,3,2,1,4,4,2,5,1,4,4,1,2,5,2,1,3,2,3,1,3,4,3,5,5,1,5,3,4,1,2,4,2,1,2,4,5,1,5,Business Intelligence Analyst,11
7,1,2,5,8,1,4,8,4,2,2,3,4,4,2,1,10,3,2,2,5,3,2,5,9,5,2,1,3,4,1,3,4,4,2,5,1,5,2,2,1,4,3,4,5,1,2,4,1,3,2,4,2,5,3,3,3,5,4,4,4,4,4,1,5,3,4,4,3,3,1,5,2,1,2,1,5,5,2,4,4,4,2,4,8,3,5,2,4,3,4,1,4,5,1,2,4,4,1,5,5,5,2,1,3,2,5,5,4,2,1,5,3,4,1,1,Middleware Engineer,62
8,3,5,4,9,3,1,5,2,1,1,3,2,5,5,5,8,2,2,1,4,2,5,5,4,4,1,1,3,5,3,5,9,1,2,4,5,1,1,1,3,4,1,3,1,3,2,3,5,4,3,4,3,4,2,5,5,5,3,5,1,1,5,5,3,5,4,2,8,3,1,3,3,2,4,2,4,1,2,2,2,5,5,2,3,1,3,1,1,5,1,2,2,1,5,3,5,5,3,2,4,5,2,1,5,5,1,4,4,3,1,2,2,4,3,3,Fintech Developer,41
9,10,3,4,4,3,4,1,4,5,2,1,3,2,5,2,4,2,3,4,9,5,2,5,4,4,5,4,2,1,5,3,1,3,4,1,4,4,5,3,2,5,5,3,5,3,5,1,3,2,5,1,2,5,5,4,5,2,2,1,4,1,1,5,1,3,4,5,3,2,4,2,2,5,3,4,5,1,4,5,4,4,5,2,2,5,4,2,3,1,1,3,3,3,4,2,3,5,1,1,3,2,3,5,3,4,3,4,2,2,5,2,4,2,4,5,Geographic Information Systems (GIS) Specialist,47
1,9,10,3,3,3,3,4,2,2,3,7,2,4,10,2,4,4,5,4,8,10,1,3,2,4,1,5,1,4,2,1,4,5,1,4,3,2,4,3,2,2,2,3,1,3,3,4,4,5,3,3,5,3,3,5,5,5,2,4,5,2,4,5,3,3,4,1,4,2,3,3,5,2,1,2,2,2,2,1,2,1,4,2,5,1,1,2,5,5,2,9,1,2,2,2,4,2,3,3,1,4,4,5,2,3,4,3,3,2,3,1,1,4,4,5,Data Scientist,28
1,10,4,1,5,5,4,5,1,3,4,2,5,5,2,2,1,1,5,3,1,1,4,4,1,3,5,2,1,3,3,3,1,1,3,3,1,5,1,4,3,5,2,1,3,1,2,1,5,2,4,4,3,4,1,5,4,3,1,3,3,10,5,3,3,4,4,2,5,4,3,4,2,4,3,4,4,5,5,2,2,4,5,5,4,5,1,3,1,1,1,5,4,2,3,3,1,2,4,2,2,3,5,1,5,3,2,1,4,4,2,5,5,1,3,5,Digital Marketer,35
10,5,2,5,5,1,9,5,5,3,4,3,5,2,1,1,3,3,4,1,3,5,5,2,2,3,4,4,4,7,1,4,2,2,1,3,5,2,2,1,2,5,1,4,4,4,5,3,2,5,3,1,5,8,3,5,2,3,2,1,2,5,5,4,2,4,3,7,3,1,2,5,2,1,4,1,4,3,5,3,7,4,4,3,5,5,3,5,2,1,4,4,4,1,2,3,5,5,1,4,5,3,5,4,3,4,4,1,4,3,1,1,3,1,3,5,Mobile Security Specialist,64
4,5,3,3,5,3,7,1,2,4,2,3,2,1,5,5,2,1,5,2,2,4,1,4,2,7,4,2,5,3,5,1,5,2,4,1,1,1,4,5,4,3,1,2,4,1,4,4,5,4,2,3,3,9,4,4,3,4,5,4,2,2,3,2,3,2,3,10,8,4,3,3,5,1,1,4,3,1,1,5,4,4,1,2,5,2,5,2,4,3,4,1,2,1,4,2,5,3,4,4,3,4,2,2,4,2,4,4,5,10,2,3,5,1,4,2,Security Architect,76
8,4,7,4,5,1,4,5,4,4,2,4,4,7,4,4,3,3,5,5,5,3,5,2,1,2,10,7,4,5,1,4,2,4,1,4,4,2,2,1,4,3,4,1,3,4,2,1,4,2,7,3,3,1,2,3,1,4,1,1,1,2,5,4,2,1,4,2,3,4,5,5,4,4,1,1,1,4,5,3,5,1,2,5,1,4,3,2,5,1,5,3,2,5,3,2,5,1,3,1,3,1,1,5,5,1,3,5,5,1,3,1,4,1,3,5,Robotics Engineer,75
4,5,5,3,5,4,8,5,3,5,2,3,4,2,5,5,2,1,2,4,5,3,1,3,2,5,4,2,2,3,3,5,3,1,5,4,1,2,3,9,5,3,1,2,2,3,5,5,3,3,3,4,3,9,1,3,3,5,3,4,4,3,4,3,1,4,4,8,7,3,3,1,3,4,1,2,5,1,5,4,2,5,1,3,5,3,5,4,3,2,1,2,5,5,2,5,4,1,4,3,1,1,5,3,2,3,2,3,3,8,4,5,5,5,2,5,Digital Forensics Analyst,34
1,3,5,2,2,2,10,2,2,1,2,4,3,3,5,2,2,1,4,3,3,5,2,1,5,5,5,1,1,2,1,5,2,5,5,3,1,3,3,5,1,5,4,5,5,1,5,5,3,5,1,3,2,10,5,3,4,2,3,2,3,5,3,3,1,5,4,10,8,3,5,1,2,4,3,1,2,2,4,5,2,2,4,3,5,4,3,4,4,4,1,4,3,3,2,1,3,1,2,1,3,5,1,1,5,4,5,4,5,8,4,4,5,1,1,1,Cybercrime Analyst,21
7,8,10,8,4,4,1,1,2,2,5,1,3,5,1,3,3,4,4,3,3,5,3,4,4,4,2,9,5,5,2,5,2,2,3,2,1,1,5,1,3,1,2,1,4,3,5,4,3,3,3,1,1,4,4,2,2,2,3,5,9,4,5,2,1,2,2,3,3,2,3,1,5,5,3,2,1,1,4,3,4,3,4,2,3,5,3,5,4,4,2,5,2,1,5,3,5,4,2,1,2,1,4,2,3,3,2,2,1,2,1,2,2,10,1,4,Research Scientist,73
10,4,1,1,2,2,1,2,1,5,4,1,4,7,5,1,2,2,1,1,4,4,3,4,1,3,4,10,4,4,4,4,5,1,3,7,4,2,3,1,2,4,2,1,3,1,2,2,1,1,1,2,5,1,7,2,5,3,5,3,5,2,4,2,5,5,3,1,2,3,5,5,1,2,5,4,1,1,3,3,3,5,1,2,4,5,5,2,5,2,2,1,5,5,4,2,4,4,4,3,1,2,5,3,3,3,5,3,3,5,1,3,2,1,5,1,Game Developer,46
3,5,1,5,4,4,9,5,1,3,2,3,4,1,5,5,1,1,4,9,1,4,2,5,4,4,4,1,2,4,2,2,1,4,2,4,4,3,8,4,1,5,1,1,1,3,5,1,3,5,1,1,4,9,2,1,1,1,4,4,4,5,3,5,3,2,5,1,2,1,9,8,10,5,2,2,2,3,5,4,2,4,2,2,3,1,2,1,3,2,5,2,2,5,5,2,4,3,4,2,1,5,5,1,3,3,2,2,5,1,1,4,3,3,2,2,DevSecOps Engineer,33
